INDEX,Did,Name,,,
1,10MH,Ahmednagar,,,
2,11MH,Akola,,,
3,12MH,Amravati,,,
4,13MH,Sambhaji Nagar,,,
5,14MH,Beed,,,
6,15MH,Bhandara,,,maharashtra
7,16MH,Buldhana,,,
8,17MH,Chandrapur,,,
9,18MH,Dhule,,,
10,19MH,Gadchiroli,,,
11,1MH,Gondia,,,
12,20MH,Hingoli,,,
13,21MH,Jalgaon,,,
14,22MH,Jalna,,,
15,23MH,Kolhapur,,,
16,24MH,Latur,,,
17,25MH,Mumbai City,,,
18,26MH,Mumbai Suburban,,,
19,27MH,Nagpur,,,
20,28MH,Nanded,,,
21,29MH,Nandurbar,,,
22,2MH,Nashik,,,
23,30MH,Osmanabad,,,
24,31MH,Palghar,,,
25,32MH,Parbhani,,,
26,33MH,Pune,,,
27,34MH,Raigad,,,
28,35MH,Ratnagiri,,,
29,36MH,Sangli,,,
30,3MH,Satara,,,
31,4MH,Sindhudurg,,,
32,5MH,Solapur,,,
33,6MH,Thane,,,
34,7MH,Wardha,,,
35,8MH,Washim,,,
36,9MH,Yavatmal,,,
